fen|mv|mv_score|bmv|bmv_score|difs
r1b1k1nr/ppp3pp/4pp2/8/1n1P1B2/3B1N2/P1P2PPP/R3R1K1 b kq - 2 12|e3f4|-119|d3e4|22|141
r1b1kbnr/ppppqp1p/2n3p1/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR w KQkq - 2 5|d8e7|-64|g8f6|28|92
r1b1kbnr/ppppq2p/4n1p1/4p3/2B1QP2/7N/PPPP2PP/RNB1K2R w KQkq - 1 9|d4e6|-112|d7d5|616|728
r1b1kbnr/ppp1q2p/4p1p1/4p3/4QP2/7N/PPPP2PP/RNB1K2R w KQkq - 0 10|d7e6|-174|e7e6|-94|80
r1b1kb1r/ppp1q2p/4p1pn/4P3/4Q3/7N/PPPP2PP/RNB1K2R w KQkq - 1 11|g8h6|-239|e7b4|-157|82
r1b1kb1r/ppp1qn1p/4p1p1/4P3/4Q3/6PN/PPPP3P/RNB1K2R w KQkq - 1 12|h6f7|-150|f8g7|-80|70
r1bqkb1r/pppp2pp/2n5/5p2/4n3/4Q3/PPP2PPP/RNB1KBNR w KQkq - 0 7|f7f5|294|d7d5|576|282
r1b1kb1r/pppp2pp/2n5/5p2/4n2q/4QP2/PPP3PP/RNB1KBNR w KQkq - 1 8|d8h4|-229|f8c5|636|865
r1b1kb1r/ppppq1pp/2n5/5p2/4n3/4QPP1/PPP4P/RNB1KBNR w KQkq - 1 9|h4e7|-299|f8b4|-224|75
r1b1kb1r/ppppq1pp/2n5/8/4p3/4Q1P1/PPP4P/RNB1KBNR w KQkq - 0 10|f5e4|-303|b7b6|-258|45
r1b1kb1r/ppp1q1pp/2n5/3p4/4p3/2N1Q1P1/PPP4P/R1B1KBNR w KQkq - 0 11|d7d5|-365|b7b6|-309|56
rnbqkbnr/pp3pp1/2pp3p/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5|d2d3|21|d2d4|90|69
rn1qk2r/pp1bbpp1/2pp1n1p/4p3/2B1P3/3PBN1P/PPP1NPP1/R2Q1RK1 b kq - 4 9|c3e2|11|d3d4|104|93
rn1qr1k1/pp1bbpp1/2pp1n1p/4p3/2BPP3/2P1BN1P/PP2NPP1/R2Q1RK1 b - - 0 11|d3d4|-15|d1b3|120|135
rn1qrbk1/pp1b1pp1/2pp1n1p/4P3/2B1P3/2P1BN1P/PP2NPP1/R2Q1RK1 b - - 0 12|d4e5|46|d1b3|129|83
r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4|e5d4|-62|e5d4|-21|41
r1bqkb1r/pppp1ppp/5n2/8/3QP3/8/PPP2PPP/RNB1KB1R w KQkq - 1 6|g8f6|-219|d8f6|-96|123
r1bqkb1r/pppp1p1p/5np1/8/3QP3/5P2/PPP3PP/RNB1KB1R w KQkq - 0 7|g7g6|-233|d7d5|-34|199
r1bqk2r/pppp1pbp/5np1/6B1/3QP3/5P2/PPP3PP/RN2KB1R w KQkq - 2 8|f8g7|-411|f8e7|-203|208
r1b1k2r/ppppqpbp/5np1/6B1/2PQP3/5P2/PP4PP/RN2KB1R w KQkq - 1 9|d8e7|-144|h7h6|-13|131
r1b1k2r/ppppqpbp/6p1/4P1Bn/2PQ4/5P2/PP4PP/RN2KB1R w KQkq - 1 10|f6h5|-1166|d7d6|82|1248
rnbqkb1r/pp2pppp/2p2n2/3P4/2P1p3/8/PP3PPP/RNBQKBNR w KQkq - 0 5|c7c6|143|e7e6|212|69
rnbqkb1r/pp2pppp/5n2/3p4/2P1p3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 6|c6d5|79|e7e6|187|108
r3kb1r/pp1n1ppp/3p4/q2n4/4pB2/2N5/PP3PPP/R2QK1NR w KQkq - 2 11|f6d5|-360|d7c5|373|733
r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq - 5 4|f3g5|-42|d2d3|11|53
r1bqkb1r/ppp2Npp/2n2n2/3pp3/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq - 0 5|g5f7|-353|e4d5|10|363
rnbqkb1r/pp3ppp/3p4/3p4/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 0 7|c7d6|-186|f8d6|-3|183
rnb2rk1/pp2bppp/3p4/q2p4/3P1B2/2N5/PPP2PPP/R2QKB1R w KQ - 6 10|d8a5|-153|b8c6|-92|61
r1b2rk1/pp2bppp/n2p4/q2p4/3P4/2N5/PPPB1PPP/R2QKB1R w KQ - 8 11|b8a6|-159|b8c6|-35|124
r1b2rk1/p3bppp/n2p4/qp1p4/3P4/P1N5/1PPB1PPP/R2QKB1R w KQ - 0 12|b7b5|-256|a6c7|-134|122
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4|f8c5|-83|g8f6|-35|48
r1bqk1nr/pppp2pp/2n2p2/8/2BbP3/5Q2/PPP2PPP/RNB1K2R w KQkq - 0 7|f7f6|334|c6e5|540|206
r1bqk1nr/pppp2pp/5p2/4n1B1/2BbP3/5Q2/PPP2PPP/RN2K2R w KQkq - 2 8|c6e5|927|d4b2|1093|166
r1bqk1nr/2pp1ppp/p1n5/1pb1p3/3PP3/1BP2N2/PP3PPP/RNBQK2R b KQkq - 1 6|c4b3|133|c4f7|191|58
r1bqk2r/2pp1ppp/p4n2/1pb5/3NP3/1B3Q2/PP3PPP/RNB1K2R b KQkq - 2 9|d1f3|147|e4e5|627|480
r2Nk2r/2p2ppp/p2p1n2/1pb5/4P3/1B3P2/PP3P1P/RNB1K2R b KQkq - 0 12|g2f3|390|d8f7|582|192
r1bqkb1r/ppp2ppp/2np1n2/4p3/2B1P3/2P2N2/PP1PQPPP/RNB1K2R b KQkq - 2 5|d1e2|-26|f3g5|125|151
