fen|mv|mv_score|bmv|bmv_score|difs
r1bqk1nr/pppp1ppp/2n5/1Bb1p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4|f8c5|-114|a7a6|-67|47
r1bqk1nr/1ppp1ppp/p1n5/1Bb1p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 5|a7a6|-220|c6d4|-98|122
r1bqk1nr/2pp1ppp/p7/1pb1p3/3nP3/1B3N2/PPPP1PPP/RNBQ1RK1 w kq - 2 7|c6d4|-166|g8f6|-85|81
r1bqk1nr/2pp1ppp/p7/1pb1p3/4P3/1BP5/PP1P1PPP/RNBQ1RK1 w kq - 1 9|d4c5|-254|d4b6|-185|69
r1bqk1nr/2pp1ppp/p2b4/1p6/3PP3/1B6/PP3PPP/RNBQ1RK1 w kq - 1 11|c5d6|-771|c5b6|-213|558
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2|d2d4|-55|g1f3|25|80
rnbqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3|d1d4|-62|g1f3|19|81
r1bqk1nr/p1pp1ppp/1pn5/2b5/4P3/2N2Q2/PPP2PPP/R1B1KBNR b KQkq - 3 6|e3f3|-48|e3g3|78|126
r1bqk1nr/p1pp1ppp/1p6/2b5/3nP3/2N4Q/PPP2PPP/R1B1KBNR b KQkq - 5 7|f3h3|-622|f3d3|-29|593
rnbqkbnr/pppp2pp/5p2/4p3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3|f7f6|-169|e5f4|36|205
r1bqk1nr/2pp2pp/p1p2p2/2b1p3/4PP2/5N2/PPPP2PP/RNBQK2R w KQkq - 0 7|b7c6|-46|d7c6|11|57
r1bqk1nr/2p3pp/p1pp4/2b1N3/4P3/8/PPPP2PP/RNBQK2R w KQkq - 0 9|d7d6|-137|d8h4|725|862
r1bqk1nr/2p3pp/p1p5/2b1p3/3PP3/8/PPP3PP/RNBQK2R w KQkq - 0 10|d6e5|0|d8h4|154|154
r1b1k1nr/2p3pp/p1p5/2P1p3/4P3/8/PPP3PP/RNBqK2R w KQkq - 0 11|d8d1|-37|d8h4|187|224
r1bqk1nr/pppp1ppp/2n5/2b1p3/4P3/5N2/PPPPBPPP/RNBQK2R w KQkq - 4 4|f8c5|-146|g8f6|-48|98
r1b1k2r/ppp1qp2/1bnp3p/6p1/1P1pn3/P2Q1NB1/2P1BPPP/RN2K2R w KQkq - 2 12|d8e7|426|c8f5|467|41
r1bq1rk1/ppp2ppp/2np1b2/8/4P3/2P5/PP2BPPP/RN1QK1NR w KQ - 0 9|d7d6|40|f8e8|165|125
r2q1rk1/pppb1ppp/2np1b2/8/4PP2/2P5/PP2B1PP/RN1QK1NR w KQ - 1 10|c8d7|12|f8e8|145|133
r2q1rk1/pppb1ppp/5b2/4n3/8/2P5/PP2B1PP/RN1QK1NR w KQ - 0 12|c6e5|588|c6e5|632|44
rnbqkb1r/pp3pp1/5n1p/2pPN3/2B5/2N5/PPPP1PPP/R1BQK2R b KQkq - 0 6|e4d5|212|c3d5|278|66
rnbqk2r/pp3pp1/3b1n1p/2pPN3/2B5/2N5/PPPPQPPP/R1B1K2R b KQkq - 2 7|d1e2|34|c4b5|225|191
rnbq1rk1/pp3pp1/3b1n1p/2pPN3/2B5/2NP4/PPP1QPPP/R1B1K2R b KQ - 0 8|d2d3|-367|f2f4|3|370
rn1qr1k1/pp3pp1/3b1n1p/2pPN3/2B2Pb1/2NPQ3/PPP3PP/R1B1K2R b KQ - 2 10|e2e3|0|e2f2|113|113
r2qr1k1/pp1n1pp1/5P1p/2pP4/2B3b1/2NPQ3/PPP3PP/R1B1K2R b KQ - 0 12|e5f6|-56|e5e6|203|259
rnb1kb1r/ppp1pppp/4q3/8/3N4/3P4/PPP1BPPP/R1BQK2R b KQkq - 2 8|f3d4|65|d3d4|131|66
rnb1kb1r/pppqpppp/8/8/3N2B1/3P4/PPP2PPP/R1BQK2R b KQkq - 4 9|e2g4|-508|d4f3|66|574
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2|d2d4|-46|g1f3|20|66
r1bqk2r/ppp1bppp/2np1n2/8/2B1P3/1PN1Q3/P1P2PPP/R1B1K1NR b KQkq - 0 7|b2b3|-94|g1e2|14|108
r1bq1rk1/ppp1bppp/2n2n2/3P4/2B5/1PN1Q3/PBP2PPP/R3K1NR b KQ - 0 9|e4d5|-85|c3d5|125|210
r1bq1rk1/ppp1bppp/8/3P4/1nB3n1/1PN3Q1/PBP2PPP/2KR2NR b - - 4 11|e3g3|-192|e3f3|131|323
r1bq1rk1/ppp2ppp/5b2/3P4/1nB3n1/1PN3QN/PBP2PPP/2KR3R b - - 6 12|g1h3|-110|c3e4|100|210
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2|d2d4|-27|g1f3|30|57
rnb1kbnr/pppp1ppp/8/8/4q3/5N2/PPP1QPPP/RNB1KB1R b KQkq - 1 5|d1e2|-67|f1e2|163|230
rnb2rk1/pppp1ppp/8/b5N1/8/2PB4/PP3PPP/RN2R1K1 b - - 2 12|f1e1|-153|d3h7|25|178
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR w KQkq - 4 4|b8c6|-12|c7c6|30|42
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P1P1/2P2Q2/PP1P1P1P/RNB1K1NR w KQ - 1 6|e8g8|125|d7d5|311|186
r1bqnrk1/pppp1ppp/2n5/2b1p1P1/2B1P3/2P2Q2/PP1P1P1P/RNB1K1NR w KQ - 1 7|f6e8|54|f6g4|123|69
r1bqnrk1/pppp1p1p/2n3p1/2b1p1P1/2B1P2P/2P2Q2/PP1P1P2/RNB1K1NR w KQ - 0 8|g7g6|-114|e8d6|102|216
r1bqnrk1/ppp2p1p/2np2p1/2b1p1P1/2B1P2P/2PP1Q2/PP3P2/RNB1K1NR w KQ - 0 9|d7d6|-300|c6a5|28|328
r1bqnrk1/ppp2p1p/2np4/2b1p1Pp/2B1P3/2PP1Q2/PP3P2/RNB1K1NR w KQ - 0 10|g6h5|-1491|e8g7|-283|1208
r1bq1rk1/ppp2pnp/2np4/2b1p1PR/2B1P3/2PP1Q2/PP3P2/RNB1K1N1 w Q - 1 11|e8g7|-608|d6d5|-529|79
r1b2rk1/ppp1qpnp/2np3R/2b1p1P1/2B1P3/2PP1Q2/PP3P2/RNB1K1N1 w Q - 3 12|d8e7|-1076|c6a5|-473|603
rnbqkb1r/pppppppp/5n2/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 2 2|b1c3|10|e4e5|89|79
r1bqkb1r/pppppppp/2n2n2/8/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 4 3|f1c4|-69|d2d4|80|149
r1bqk2r/pppp1ppp/2n2n2/4p3/1bB1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5|d2d3|-41|c3d5|34|75
r1bqk2r/ppp2ppp/2n5/3Bp3/8/2PP1N2/P1P2PPP/R1BQK2R b KQkq - 0 8|c4d5|-32|e1g1|42|74
2kr3r/pppb1ppp/2n1q3/4p3/2PP4/5N2/P1P2PPP/R1BQR1K1 b - - 0 12|d3d4|-90|a1b1|-9|81
r3k2r/ppp2ppp/2nqp3/3p4/3P2n1/2PQPN2/PP3PPP/RN3RK1 w kq - 2 10|f6g4|-96|e8g8|9|105
r1b1k1nr/pppp1ppp/2n2q2/1Bb1p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 6 5|d8f6|-180|c6d4|-75|105
r1b1k1nr/ppp2ppp/2np1q2/1Bb1p3/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq - 0 6|d7d6|-234|g8e7|-120|114
r3k1nr/pppb1ppp/2np1q2/1Bb1p3/4P3/2NP1N2/PPP2PPP/R1BQ1RK1 w kq - 1 7|c8d7|-183|f6d8|-112|71
r3k1nr/ppp2ppp/2bp2q1/2b1p1B1/4P3/2NP1N2/PPP2PPP/R2Q1RK1 w kq - 0 9|d7c6|-56|b7c6|0|56
r3k1nr/ppp3pp/2bp2q1/2b1pp2/4P2B/2NP1N2/PPP2PPP/R2Q1RK1 w kq - 0 10|f7f5|-122|f7f6|-26|96
r3k1nr/ppp3pp/2bp4/2b2q2/3p3B/2N2N2/PPP2PPP/R2Q1RK1 w kq - 0 12|e5d4|-83|c6f3|13|96
r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 2|g1f3|20|d2d4|62|42
r1bqkbnr/ppp1pppp/8/3P4/1n6/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 2 4|b1c3|115|c2c4|275|160
r2qkbnr/ppp1pppp/8/3P1b2/1n6/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 5|d2d3|107|f1b5|222|115
rn1qkb1r/pppB1ppp/5n2/3P4/8/P1N2N2/1PP2PPP/R1BQK2R b KQkq - 0 11|b5d7|159|c1f4|242|83
r1bqk1nr/pppp1ppp/2n5/2b1p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4|f8c5|-133|g8f6|-73|60
r1bqk1nr/p1p2ppp/2pp4/8/3bP3/2N5/PPP2PPP/R1BQK2R w KQkq - 0 8|c5d4|-85|g8f6|-13|72
r2qk1nr/p1p2ppp/2ppb3/8/3QP3/2N5/PPP2PPP/R1B1K2R w KQkq - 1 9|c8e6|-218|g8f6|-125|93
r3k1nr/p1p1qpQp/2ppb3/8/4P3/2N5/PPP2PPP/R1B1K2R w KQkq - 1 10|d8e7|-717|d8f6|-210|507
2kr2nQ/p1p1qp1p/2ppb3/8/4P3/2N5/PPP2PPP/R1B1K2R w KQ - 1 11|e8c8|-877|f7f6|-731|146
rnbqkbnr/pppp1ppp/8/4p3/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2|e7e5|-1|e7e5|53|54
r1bqkb1r/ppp2ppp/2n2n2/3p4/7P/3pP1P1/PPP1QPB1/RNB1K1NR w KQkq - 0 7|e4d3|64|c8g4|190|126
r2qkb1r/ppp2ppp/4bn2/3pn3/7P/1Q2P1P1/PPP2PB1/RNB1K1NR w KQkq - 3 9|c8e6|32|a7a5|128|96
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2|d2d4|-21|g1f3|35|56
r1b1kbnr/ppppqppp/8/8/1n2P3/2NBQ3/PPP2PPP/R1B1K1NR b KQkq - 6 6|f1d3|62|e3e2|140|78
r1b1kb1r/ppppqppp/5n2/8/1n2P3/2NBQ3/PPPB1PPP/R3K1NR b KQkq - 8 7|c1d2|-37|a2a3|65|102
r1b1kb1r/ppppqppp/8/8/1n2P1n1/2NB1Q2/PPPB1PPP/R3K1NR b KQkq - 10 8|e3f3|-57|e3e2|52|109
r1b1kb1r/ppppqppp/8/4n3/1n2P3/2NBQ3/PPPB1PPP/R3K1NR b KQkq - 12 9|f3e3|-639|f3g3|-48|591
r1b1kb1r/ppppqppp/8/8/1n2P3/2NPQ3/PP1B1PPP/R3K1NR b KQkq - 0 10|c2d3|-889|e1f1|-675|214
rnbqkbnr/pp3ppp/2pp4/4p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 4|c2c3|10|d2d4|84|74
rnbqkbnr/5ppp/2pp4/pp2p3/3PP3/1BP2N2/PP3PPP/RNBQK2R b KQkq - 0 6|d2d4|16|a2a4|67|51
rnbqkbnr/pp3pp1/4p2p/2pP4/2B5/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 5|e4d5|-79|c4b5|-27|52
r1bqkbnr/pppp1ppp/8/8/3nP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5|c6d4|-108|f8c5|-34|74
r1bqkb1r/pppp1ppp/5n2/8/3QP3/8/PPP2PPP/RNB1KB1R w KQkq - 1 6|g8f6|-213|g8e7|-90|123
r1bqkb1r/pppp1p1p/5np1/8/3QP3/2N5/PPP2PPP/R1B1KB1R w KQkq - 0 7|g7g6|-759|d7d6|-111|648
r1bqk2r/pppp1pbp/6p1/4P2n/3Q4/2N5/PPP1BPPP/R1B1K2R w KQkq - 1 9|f6h5|-358|f6g8|-248|110
r1bqk2r/ppp2pbp/3p2p1/4P2n/3QN3/8/PPP1BPPP/R1B1K2R w KQkq - 0 10|d7d6|-183|d8e7|-23|160
r1bqk2r/ppp2p1p/3p1bp1/4P2n/3Q4/8/PPP1BPPP/R1B1K2R w KQkq - 0 11|g7f6|-8|h5f6|105|113
r1bqk2r/ppp2p1p/3p1np1/8/3Q4/8/PPP1BPPP/R1B1K2R w KQkq - 0 12|h5f6|-608|d8f6|28|636
rnb1k1nr/ppppqppp/8/4N3/1b1PP3/8/PPPB1PPP/RN1QKB1R b KQkq - 2 5|c1d2|139|c2c3|266|127
rnb1k1nr/ppppqppp/8/4N3/3PP3/8/PPPQ1PPP/RN2KB1R b KQkq - 0 6|d1d2|66|b1d2|187|121
rnb1k1nr/ppp1qppp/3p4/4N3/3PPP2/8/PPPQ2PP/RN2KB1R b KQkq - 0 7|f2f4|-105|e5c4|85|190
rnb1k1nr/ppp1qppp/8/4P3/3PP3/8/PPPQ2PP/RN2KB1R b KQkq - 0 8|f4e5|-279|d4e5|-112|167
rnb1k1nr/ppp2pp1/7p/4P1q1/3PP3/2NQ4/PPP3PP/R3KB1R b KQkq - 3 10|d2d3|-151|d2f2|-45|106
rn2k1nr/ppp2pp1/7p/4P1q1/3PP1b1/2NQ4/PPP1B1PP/R3K2R b KQkq - 5 11|f1e2|-145|c3d5|-29|116
r1bqkb1r/ppp1np1p/2n1p1p1/1B1pP3/3P4/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 6|f1b5|69|h2h4|111|42
r2qk2r/pppbnpbp/2n1p1p1/1B1pP1N1/3P4/2N5/PPP2PPP/R1BQ1RK1 b kq - 5 8|f3g5|16|a2a4|62|46
r2q1rk1/2p1npbp/ppb1p1p1/3pP1N1/3P4/BPNQ4/P1P2PPP/R4RK1 b - - 1 12|d1d3|-18|d1g4|121|139
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P5/PP1P1PPP/RNBQK1NR w KQkq - 1 4|f8c5|-91|g8f6|-37|54
r1b1k1nr/ppppqppp/2n5/2b1p3/2B1P3/2P2Q2/PP1P1PPP/RNB1K1NR w KQkq - 3 5|d8e7|-79|g8f6|37|116
r4rk1/ppp2p1p/2npbp2/2b1p3/2B1P3/2PP4/PP1N1PPP/2KR2NR w - - 2 11|c8e6|-72|c6e7|-23|49
r2qkb1r/pp3ppp/2n1pn2/5b2/3p3N/P6P/1PPPNPP1/R1BQKB1R w KQkq - 2 9|b8c6|-7|d4d3|78|85
r2qkb1r/pp3ppp/2n5/3n1p2/3p1N2/P6P/1PPP1PP1/R1BQKB1R w KQkq - 2 11|f6d5|-5|f8d6|86|91
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3|f1c4|-18|f1b5|46|64
r2qkbnr/ppp2ppp/8/3PNb2/1nB5/3P4/PPP2PPP/RNBQK2R b KQkq - 0 6|d2d3|210|c4b5|311|101
r2qkb1r/ppp2ppp/3P1n2/4Nb2/1nB5/3P4/PPP2PPP/RNBQK2R b KQkq - 0 7|d5d6|105|c4b5|304|199
r2qkb1r/ppP2ppp/5n2/3nNb2/2B5/3P4/PPP2PPP/RNBQK2R b KQkq - 0 8|d6c7|174|c4b5|367|193
r3kb1r/ppq2ppp/5n2/3BNb2/8/3P4/PPP2PPP/RNBQK2R b KQkq - 0 9|c4d5|-13|e1g1|227|240
r3kb1r/pp3ppp/5n2/4q3/4P3/8/PPP2PPP/RNBQK2R b KQkq - 0 11|d3e4|5|d1e2|46|41
r3kb1r/pp3ppp/8/4q3/4n3/4B3/PPP2PPP/RN1QK2R b KQkq - 1 12|c1e3|-87|e1g1|0|87
r1bqk2r/ppp2ppp/2np1n2/2b1p3/4P3/2NP1N2/PPPB1PPP/R2QKB1R w KQkq - 0 6|d7d6|-9|f6g4|96|105
r2q1rk1/ppp2ppp/3p1n2/2b1p3/4P3/2NP4/PPPBBP1P/2KR3Q w - - 1 12|e8g8|193|h8g8|264|71
rnbqkbnr/ppp3pp/5p2/3Pp3/5P2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 4|f2f4|86|d2d4|176|90
rnbqkbnr/ppp3pp/5p2/3P4/5p2/2NP4/PPP3PP/R1BQKBNR b KQkq - 0 5|d2d3|27|d2d4|153|126
rnbqkbnr/ppp4p/5pp1/3P4/5B2/2NP4/PPP3PP/R2QKBNR b KQkq - 0 6|c1f4|111|g1e2|158|47
rnbqk1nr/ppp4p/3b1pp1/3P4/5B2/2NP4/PPP1N1PP/R2QKB1R b KQkq - 2 7|g1e2|131|d1f3|211|80
rnbqk1nr/pp5p/3p1p2/3P2p1/3N4/2NP4/PPP3PP/R2QKB1R b KQkq - 1 9|e2d4|327|h2h4|376|49
rnb1k1nr/pp2q3/3p1p2/3P2pp/3N4/2NP4/PPP1Q1PP/2KR1B1R b kq - 3 11|e1c1|370|e1d2|489|119
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2P1P3/PP3PPP/RNBQKBNR w KQkq - 1 4|b8c6|-41|e7e6|1|42
r2qkb1r/ppp1pppp/2n2n2/3p1b2/3P4/1PP1P3/P4PPP/RNBQKBNR w KQkq - 1 5|c8f5|-16|e7e5|31|47
r3kb1r/pppqpppp/2n2n2/3p1b2/3P4/1PPBP3/P4PPP/RNBQK1NR w KQkq - 3 6|d8d7|-7|f5d3|62|69
rnbqkb1r/pppppppp/5n2/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 2 2|b1c3|14|e4e5|75|61
rnbqk2r/ppp1ppbp/3p1np1/4P3/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5|e4e5|-21|f1d3|21|42
rnbqk2r/pppnppbp/3p2p1/4P3/2BP4/2N2N2/PPP2PPP/R1BQK2R b KQkq - 2 6|f1c4|-30|e5d6|33|63
rnbq1rk1/pppnppbp/3p2p1/4P1N1/2BP4/2N5/PPP2PPP/R1BQK2R b KQ - 4 7|f3g5|-104|e5e6|168|272
rnbq1rk1/pppn1pbp/3pp1p1/4P1N1/2BP4/2N2Q2/PPP2PPP/R1B1K2R b KQ - 1 8|d1f3|-185|f2f4|19|204
rnbq1rk1/pppn1pbp/4p1p1/4P1N1/2B5/2N2Q2/PPP2PPP/R1B1K2R b KQ - 0 9|d4e5|-286|f3h3|57|343
rnbq1rk1/ppp2pbp/4p1p1/4n1N1/2B5/2N4Q/PPP2PPP/R1B1K2R b KQ - 1 10|f3h3|-440|f3e2|-278|162
rnbq1rk1/ppp2pb1/4p1pp/4n3/2B1N3/2N4Q/PPP2PPP/R1B1K2R b KQ - 1 11|g5e4|-651|g5f7|-429|222
rnbq1rk1/p1p2pb1/1p2p1pB/4n3/2B1N3/2N4Q/PPP2PPP/R3K2R b KQ - 0 12|c1h6|-449|c4b3|-208|241
r1bqkbnr/ppp2ppp/2n5/3P4/8/4Q3/PPP2PPP/RNB1KBNR b KQkq - 0 5|e4d5|136|e4d5|205|69
r1bqkbnr/ppp1nppp/8/3P4/8/2N1Q3/PPP2PPP/R1B1KBNR b KQkq - 2 6|b1c3|137|f1b5|208|71
q3kb1r/p2bnp1p/5np1/8/8/2N1QN2/PPP2PPP/R1B2RK1 b k - 1 12|e1g1|555|e3e5|830|275
r1bqkbnr/pppp1ppp/2n5/4p3/8/4PQ2/PPPP1PPP/RNB1KBNR w KQkq - 2 3|b8c6|56|d7d5|101|45
r1b1kbnr/ppppqppp/2n5/4p3/2B5/4PQ2/PPPP1PPP/RNB1K1NR w KQkq - 4 4|d8e7|-56|g8f6|70|126
r1b1kb1r/ppppqppp/2n5/3np1N1/2B5/4PQ2/PPPP1PPP/RNB1K2R w KQkq - 8 6|f6d5|-235|d7d5|219|454
r1b1kbr1/ppppqNpp/2n5/4p3/2B1Pn2/5Q2/PPPP1PPP/RNB1K2R w KQq - 1 8|h8g8|117|c6d4|433|316
r1b1kbr1/ppppqNpp/2n5/4p3/2B1P3/2Q5/PPPP1PnP/RNB1K2R w KQq - 0 9|f4g2|120|d7d5|458|338
r1b1kbr1/ppppqNpp/2n1n3/4p3/1PB1P3/2Q5/P1PP1P1P/RNB2K1R w q - 1 11|f4e6|78|d7d5|802|724
r2qkb1r/ppp2ppp/2np1n2/4p3/2B1P3/1PP2Q1P/P2P1PP1/RNB1K2R b KQkq - 0 7|b2b3|28|d2d3|85|57
r2qk2r/ppp1bpp1/3p1n1p/8/1nBPP3/1P5P/PB3PP1/RN1QK2R b KQkq - 2 11|f3d1|-114|e1g1|40|154
r2q1rk1/ppp1bpp1/3p1n1p/4P3/1nBP4/1P5P/PB3PP1/RN1QK2R b KQ - 0 12|e4e5|-110|c4d3|-16|94
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3|f1c4|-9|f1b5|37|46
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 4|c2c3|-146|d2d4|-28|118
r1bqkb1r/ppp2ppp/5n2/n2Pp3/2B5/2P2N2/PP1PQPPP/RNB1K2R b KQkq - 2 6|d1e2|-125|d1a4|165|290
r1bqk2r/ppp2ppp/5n2/n1bPp3/2BP4/2P2N2/PP2QPPP/RNB1K2R b KQkq - 0 7|d2d4|22|c4b5|125|103
r1bqk2r/ppp2ppp/5n2/n2Pp3/2BN4/2P5/PP2QPPP/RNB1K2R b KQkq - 0 8|f3d4|22|c3d4|389|367
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3|b8c6|-113|d7d6|-69|44
r1bqkbnr/pppp1ppp/8/8/3nP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5|c6d4|-107|f8c5|-63|44
r1bqkb1r/pppp1ppp/5n2/8/3QP3/8/PPP2PPP/RNB1KB1R w KQkq - 1 6|g8f6|-202|d7d6|-127|75
r1bqkb1r/pp3ppp/5n2/2ppP3/4Q3/8/PPP2PPP/RNB1KB1R w KQkq d6 0 8|d7d5|-51|f6e4|1312|1363
r1bqk1nr/ppp2ppp/1bnp4/3Pp3/2B1P3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 6|d4d5|-53|d4e5|21|74
r1bqk1nr/p4p1p/1bpp4/4p1p1/1P2P3/3B1N2/P2N1PPP/R1BQ1RK1 b kq - 1 12|b1d2|408|c1g5|646|238
r2qk2r/ppp2ppp/2n1pn2/1B1p1b2/3P1P2/2b1PN2/PPPB2PP/R2QK2R w KQkq - 0 8|b4c3|-27|e8g8|27|54
r2qk2r/1pp2ppp/p1n1p3/1B1p1b2/3PnP2/4PN2/PPPB2PP/R2QK2R w KQkq - 0 10|a7a6|-30|e8g8|38|68
r2qk2r/2p2ppp/p3p3/2ppNb2/3PnP2/4P3/PPPB2PP/R2QK2R w KQkq - 0 12|c6c5|17|d8h4|259|242
rnb1kbnr/ppp1pppp/4q3/8/8/2N5/PPPPNPPP/R1BQKB1R b KQkq - 3 4|g1e2|59|f1e2|101|42
rn2k1nr/ppp1ppbp/5qp1/8/3P1Nb1/2N1BP2/PPP3PP/R2QKB1R b KQkq - 0 8|f2f3|327|d1g4|605|278
rn2k1nr/ppp1ppbp/5qp1/5b2/3P1N2/2NBBP2/PPP3PP/R2QK2R b KQkq - 2 9|f1d3|174|f4d5|524|350
r2qk2r/ppp2ppp/2b1pn2/b2p4/3P4/1PP1PN2/PB3PPP/RN1QK2R w KQkq - 1 9|b4a5|-160|b4d6|-4|156
r1bqk1nr/p1pp1ppp/2p5/2b1p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5|b7c6|-91|d7c6|-43|48
r1b1k1nr/p1ppqppp/2p5/2b1p3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 6|d8e7|-75|d7d6|-16|59
r1b1k1nr/p1p1qppp/2p5/2bpp3/4P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 0 7|d7d5|-169|g8f6|-74|95
r1b1k1nr/p1p1qppp/8/2b1p3/3p4/2NP1N2/PPP2PPP/R1BQ1RK1 w kq - 0 9|d5d4|-212|g8f6|-161|51
r3k1nr/p1p1qppp/8/1Nb1p3/3p2b1/3P1N2/PPP2PPP/R1BQ1RK1 w kq - 2 10|c8g4|-235|a7a6|-86|149
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3|f1c4|-9|f1b5|42|51
r1bqkb1r/ppp2ppp/2np1n2/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5|d2d3|-5|f3g5|103|108
r2qkb1r/ppp2ppp/2npbn2/1B2p3/4P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 2 6|c4b5|-8|e1g1|37|45
r2qk2r/2p1bppp/p3bn2/2p1N1B1/3pP3/3P3P/PPP1NPP1/R2Q1RK1 b kq - 0 12|h2h3|200|e5c6|602|402
r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3|f1c4|-59|f1b5|52|111
r1bqkbnr/pp1p1ppp/2n1p3/2p5/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4|d2d3|-82|e1g1|-37|45
r1bqk1nr/pp3ppp/2nb4/2pp4/2P5/1B1P1N2/PP3PPP/RNBQK2R b KQkq - 0 7|c2c4|-119|b3d5|89|208
r3k2r/p1q1nppp/2pb4/2p3B1/2Pp2b1/3P1N2/PP3PPP/RN1QR1K1 b kq - 1 12|c1g5|-294|h2h3|-43|251
r1bqkbnr/pppp1ppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq - 1 4|b8c6|-39|g8f6|3|42
r1bqk1nr/ppp2ppp/2np4/2b5/P3P3/8/1PP2PPP/RNBQKBNR w KQkq - 0 6|d7d6|67|g8f6|140|73
r1bqk2r/ppp2ppp/2np4/8/PP2P1n1/2P5/5KPP/RNBQ1BNR w kq - 1 9|f6g4|-61|f6e4|183|244
r1b1k2r/ppp2ppp/2np1q2/8/PP2P1n1/2P5/6PP/RNBQKBNR w kq - 3 10|d8f6|-176|f7f5|-57|119
r2qkb1r/ppp1pppp/2n2n2/3p1b2/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 5|g8f6|-119|e7e6|-16|103
r2qk2r/ppp2ppp/3bpn2/3pnb2/3P1B2/4P2P/PPPN1PP1/R2QKB1R w KQkq - 0 8|c6e5|-363|d6e5|0|363
r2qk2r/ppp2ppp/3bp3/3pPb1n/5B2/4P2P/PPPN1PP1/R2QKB1R w KQkq - 1 9|f6h5|-497|d6e7|-375|122
r3k2r/ppq2ppp/4p3/3p4/5P2/7P/PPbN1PP1/R2QKB1R w KQkq - 0 12|f5c2|-438|e8g8|-373|65
rnbqkb1r/ppp2ppp/5n2/3p4/3P4/2N3P1/PPP2P1P/R1BQKBNR b KQkq - 0 5|g2g3|-62|h2h3|-5|57
rn2kb1r/pp1q1pp1/2p2n1p/3p4/3P2b1/2N1BNP1/PPP2PBP/R2Q1RK1 b kq - 5 9|c1e3|-26|f1e1|63|89
